Primer Autor	Año Publicación	Tipo Producto	Journal	
E. Tóth-Laufer	2018	CONF	2018 IEEE 16th International Symposium on Intelligent Systems and Informatics (SISY)	
T. A. K. Zakian	2019	CONF	2019 IEEE International Parallel and Distributed Processing Symposium (IPDPS)	
A. Addone	2021	JOUR	IEEE Access	
Y. Wang	2020	CONF	2020 4th International Conference on Trends in Electronics and Informatics (ICOEI)(48184)	
C. -F. Hu	2014	CONF	2014 International Conference on Teaching and Learning in Computing and Engineering	
C. Chao	2013	CONF	2013 Chinese Automation Congress	
Ping Yang	2009	CONF	2009 4th International Conference on Computer Science & Education	
X. Yang	2022	CONF	2022 3rd International Conference on Education, Knowledge and Information Management (ICEKIM)	
D. Valluru	2023	CONF	2023 9th International Conference on Advanced Computing and Communication Systems (ICACCS)	
V. Dhanoa	2023	JOUR	IEEE Transactions on Visualization and Computer Graphics	
A. J. Dios	2010	CONF	2010 IEEE 12th International Conference on High Performance Computing and Communications (HPCC)	
A. M. Saghiri	2020	CONF	2020 6th International Conference on Web Research (ICWR)	
Z. Li	2020	CONF	2020 IEEE International Conference on Data Mining (ICDM)	
I. Z. Bargury	2012	CONF	2012 Frontiers in Education Conference Proceedings	
M. Sharples	2023	JOUR	IEEE Annals of the History of Computing	
E. B. Mbaya	2023	JOUR	IEEE Access	
A. R. Hurson	2010	CONF	2010 IEEE Transforming Engineering Education: Creating Interdisciplinary Skills for Complex Global Environments	
L. P. Khan	2023	CONF	2023 International Conference on Computational Intelligence and Sustainable Engineering Solutions (CISES)	
W. Rui	2011	CONF	2011 International Conference on E-Business and E-Government (ICEE)	
R. Bahati	2013	CONF	Proceedings of the 26th IEEE International Symposium on Computer-Based Medical Systems	
M. -F. CRAINIC	2019	CONF	2019 IEEE 13th International Symposium on Applied Computational Intelligence and Informatics (SACI)	
M. M. Abdulghani	2022	CONF	2022 International Conference on Computational Science and Computational Intelligence (CSCI)	
P. Saariluoma	2018	CONF	2018 International Conference on Computational Science and Computational Intelligence (CSCI)	
L. Gren	2017	CONF	2017 International Conference on Computational Science and Computational Intelligence (CSCI)	
S. Ingram	2021	CONF	2021 International Conference on Computational Science and Computational Intelligence (CSCI)	
M. M. Abdulghani	2022	CONF	2022 International Conference on Computational Science and Computational Intelligence (CSCI)	
B. Beckwith	2018	CONF	2018 International Conference on Computational Science and Computational Intelligence (CSCI)	
R. Z. Cheng	2020	CONF	2020 International Conference on Computational Science and Computational Intelligence (CSCI)	
M. Yilmaz	2023	CONF	2023 International Conference on Computational Science and Computational Intelligence (CSCI)	
F. X. Bogner	2018	CONF	2018 International Conference on Computational Science and Computational Intelligence (CSCI)	
A. Ebrahimi	2021	CONF	2021 International Conference on Computational Science and Computational Intelligence (CSCI)	
L. Harter	2022	CONF	2022 International Conference on Computational Science and Computational Intelligence (CSCI)	
K. Shrum	2016	CONF	2016 International Conference on Computational Science and Computational Intelligence (CSCI)	
P. d. L. Sobreira	2020	CONF	2020 IEEE World Conference on Engineering Education (EDUNINE)	
M. Cápay	2014	CONF	2014 International Conference on Interactive Collaborative Learning (ICL)	
S. Kimothi	2023	CONF	2023 International Conference on Advancement in Computation & Computer Technologies (InCACCT)	
B. Hu	2012	CONF	2012 International Conference on Computer Science and Service System	
M. Mallick	2021	CONF	2021 International Conference on Control, Automation and Information Sciences (ICCAIS)	
Liu QingSong	2009	CONF	2009 IEEE International Conference on Intelligent Computing and Intelligent Systems	
G. Li	2010	CONF	2010 International Conference on Measuring Technology and Mechatronics Automation	
G. Jansen	2019	CONF	2019 IEEE International Conference on Big Data (Big Data)	
A. A. Minai	2009	CONF	2009 International Joint Conference on Neural Networks	
J. R. Byrne	2015	CONF	2015 IEEE Frontiers in Education Conference (FIE)	
F. Li	2015	CONF	2015 IEEE Frontiers in Education Conference (FIE)	
C. -U. Yeom	2018	CONF	2018 IEEE 9th Annual Information Technology, Electronics and Mobile Communication Conference (IEMCON)	
Y. Gao	2020	CONF	2020 International Conference on Culture-oriented Science & Technology (ICCST)	
H. Song	2023	CONF	2023 IEEE International Conference on Control, Electronics and Computer Technology (ICCECT)	
Q. Xing	2023	CONF	2023 3rd International Conference on Educational Technology (ICET)	
E. Nagy	2022	CONF	2022 IEEE 10th Jubilee International Conference on Computational Cybernetics and Cyber-Medical Systems (ICCC)	
D. Parmar	2016	CONF	2016 IEEE Virtual Reality (VR)	
P. Hubwieser	2015	CONF	2015 International Conference on Learning and Teaching in Computing and Engineering	
R. S. Rodrigues	2016	CONF	2016 IEEE Frontiers in Education Conference (FIE)	
P. S. C. Santos	2018	CONF	2018 IEEE Frontiers in Education Conference (FIE)	
S. Isabelle M. L.	2019	CONF	2019 IEEE Frontiers in Education Conference (FIE)	
C. Fritz	2022	JOUR	Computer	
E. C. Oliveira	2021	CONF	2021 IEEE Global Engineering Education Conference (EDUCON)	
T. Y. Sim	2021	CONF	2021 IEEE International Conference on Computing (ICOCO)	
I. R. Adeyemi	2014	CONF	2014 International Symposium on Biometrics and Security Technologies (ISBAST)	
L. Horváth	2010	CONF	IECON 2010 - 36th Annual Conference on IEEE Industrial Electronics Society	
J. C. K. H. Riedel	2011	CONF	2011 17th International Conference on Concurrent Enterprising	
A. -F. Lai	2015	CONF	2015 IEEE 15th International Conference on Advanced Learning Technologies	
F. V. Kowalski	2012	CONF	2012 Frontiers in Education Conference Proceedings	
Z. Zainuddin	2013	CONF	Proceedings of 2013 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)	
Peiling Zhang	2010	CONF	2010 2nd International Conference on Education Technology and Computer	
Y. Jiang	2020	CONF	2020 4th International Conference on Electronics, Communication and Aerospace Technology (ICECA)	
Manli Li	2011	CONF	2011 International Conference on Business Management and Electronic Information	
G. Thiyagarajan	2021	CONF	2021 2nd International Conference on Communication, Computing and Industry 4.0 (C2I4)	
Y. Xue	2020	CONF	2020 5th International Conference on Mechanical, Control and Computer Engineering (ICMCCE)	
L. Horváth	2011	CONF	2011 IEEE 7th International Symposium on Intelligent Signal Processing	
H. Sun	2021	CONF	2021 IEEE Asia-Pacific Conference on Image Processing, Electronics and Computers (IPEC)	
Q. Dong	2023	CONF	2023 International Conference on Computer Engineering and Distance Learning (CEDL)	
X. Zhang	2009	CONF	2009 First International Workshop on Education Technology and Computer Science	
C. Xue	2020	CONF	2020 13th International Conference on Intelligent Computation Technology and Automation (ICICTA)	
K. McMaster	2010	CONF	2010 IEEE Frontiers in Education Conference (FIE)	
S. Saenboonsong	2024	CONF	2024 9th International STEM Education Conference (iSTEM-Ed)	
R. D. Handayani	2022	CONF	2022 8th International Conference on Education and Technology (ICET)	
Y. Wang	2023	CONF	2023 13th International Conference on Information Technology in Medicine and Education (ITME)	
L. Liao	2017	CONF	2017 International Symposium on Educational Technology (ISET)	
K. H. Koh	2014	CONF	2014 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)	
X. Zhou	2023	CONF	2023 5th International Workshop on Artificial Intelligence and Education (WAIE)	
L. D. Miller	2013	CONF	2013 IEEE Frontiers in Education Conference (FIE)	
J. Liu	2022	CONF	2022 4th International Conference on Computer Science and Technologies in Education (CSTE)	
I. Vlahović	2023	CONF	2023 46th MIPRO ICT and Electronics Convention (MIPRO)	
N. Ahmadi	2012	CONF	2012 IEEE 12th International Conference on Advanced Learning Technologies	
B. -H. Chen	2021	CONF	2021 IEEE 3rd Eurasia Conference on IOT, Communication and Engineering (ECICE)	
S. Swaid	2019	CONF	2019 International Conference on Computational Science and Computational Intelligence (CSCI)	
Boqin Liu	2014	CONF	2014 9th International Conference on Computer Science & Education	
F. Yu	2019	CONF	2019 10th International Conference on Information Technology in Medicine and Education (ITME)	
A. Repenning	2016	CONF	2016 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)	
N. Dehbozorgi	2024	CONF	2024 IEEE Integrated STEM Education Conference (ISEC)	
M. Zhao	2022	CONF	2022 3rd International Conference on Education, Knowledge and Information Management (ICEKIM)	
T. Nakamura	2019	CONF	2019 International Joint Conference on Information, Media and Engineering (IJCIME)	
Z. Deng	2009	CONF	2009 4th International Conference on Computer Science & Education	
E. Karakaş	2020	CONF	2020 Turkish National Software Engineering Symposium (UYMS)	
R. Ismail	2022	CONF	2022 IEEE Global Engineering Education Conference (EDUCON)	
T. Turchi	2016	CONF	2016 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)	
C. -C. Hu	2022	CONF	2022 24th International Conference on Advanced Communication Technology (ICACT)	
T. Xue	2024	CONF	2024 International Symposium on Educational Technology (ISET)	
R. P. Curasma	2019	CONF	2019 IEEE XXVI International Conference on Electronics, Electrical Engineering and Computing (INTERCON)	
X. Zhou	2011	CONF	2011 International Conference on E-Business and E-Government (ICEE)	
A. Jung	2017	CONF	2017 International Conference on Computational Science and Computational Intelligence (CSCI)	
R. Vinayakumar	2018	CONF	2018 9th International Conference on Computing, Communication and Networking Technologies (ICCCNT)	
N. A. Nunez	2020	CONF	2020 IEEE ANDESCON	
A. Muñoz del Castillo	2019	CONF	2019 XIV Latin American Conference on Learning Technologies (LACLO)	
Y. Wang	2021	CONF	2021 International Conference on Education, Information Management and Service Science (EIMSS)	
M. Philip	2013	CONF	2013 IEEE International Conference in MOOC, Innovation and Technology in Education (MITE)	
A. Bauer	2015	CONF	2015 IEEE Blocks and Beyond Workshop (Blocks and Beyond)	
A. Repenning	2014	JOUR	IEEE Computer Graphics and Applications	
T. Carvalho	2013	CONF	2013 2nd Workshop-School on Theoretical Computer Science	
S. -Y. Wu	2018	CONF	2018 1st International Cognitive Cities Conference (IC3)	
J. Zhang	2023	CONF	2023 International Symposium on Educational Technology (ISET)	
X. Wang	2021	CONF	2021 IEEE 3rd International Conference on Computer Science and Educational Informatization (CSEI)	
C. Xiaohong	2021	CONF	2021 2nd International Conference on Artificial Intelligence and Education (ICAIE)	
H. Shoaib	2019	CONF	2019 IEEE Frontiers in Education Conference (FIE)	
C. A. N. Johnson	2017	CONF	2017 7th World Engineering Education Forum (WEEF)	
Z. Deng	2009	CONF	2009 International Conference on Education Technology and Computer	
M. Xiao	2017	CONF	2017 International Conference of Educational Innovation through Technology (EITT)	
C. -K. Chang	2018	CONF	2018 7th International Congress on Advanced Applied Informatics (IIAI-AAI)	
C. -K. Chang	2016	CONF	2016 5th IIAI International Congress on Advanced Applied Informatics (IIAI-AAI)	
M. S. Geremias	2023	CONF	2023 IEEE International Conference on Advanced Learning Technologies (ICALT)	
C. Araújo	2019	CONF	2019 International Symposium on Computers in Education (SIIE)	
C. Zhang	2011	CONF	2011 6th International Conference on Computer Science & Education (ICCSE)	
S. Se	2015	CONF	2015 International Conference on Innovations in Information, Embedded and Communication Systems (ICIIECS)	
F. Sattar	2023	CONF	2023 IEEE Global Engineering Education Conference (EDUCON)	
Y. Jin	2021	CONF	2021 Tenth International Conference of Educational Innovation through Technology (EITT)	
C. S. González-González	2021	CONF	2021 International Symposium on Computers in Education (SIIE)	
Y. Wang	2020	CONF	2020 Ninth International Conference of Educational Innovation through Technology (EITT)	
P. B. Henderson	2009	JOUR	Computer	
W. Zhang	2023	CONF	2023 5th International Workshop on Artificial Intelligence and Education (WAIE)	
A. K. Ng	2021	CONF	2021 IEEE International Conference on Engineering, Technology & Education (TALE)	
M. E. Hadi	2021	CONF	2021 9th International Conference on Cyber and IT Service Management (CITSM)	
P. Zhou	2024	CONF	2024 International Symposium on Educational Technology (ISET)	
F. Zhao	2022	CONF	2022 12th International Conference on Information Technology in Medicine and Education (ITME)	
G. K. W. Wong	2018	CONF	2018 IEEE International Conference on Teaching, Assessment, and Learning for Engineering (TALE)	
R. J. Haddad	2015	CONF	2015 IEEE Integrated STEM Education Conference	
H. Ding	2019	CONF	2019 IEEE International Conference on Computer Science and Educational Informatization (CSEI)	
L. Laura-Ochoa	2021	CONF	2021 XVI Latin American Conference on Learning Technologies (LACLO)	
Lina Wang	2011	CONF	2011 International Conference on Computer Science and Service System (CSSS)	
P. -H. Lin	2020	JOUR	IEEE Access	
A. De Santo	2022	JOUR	IEEE Transactions on Learning Technologies	
Z. He	2019	CONF	2019 IEEE International Conference on Engineering, Technology and Education (TALE)	
D. Gong	2021	CONF	2021 International Symposium on Educational Technology (ISET)	
Y. Chen	2024	CONF	2024 13th International Conference on Educational and Information Technology (ICEIT)	
A. Gonzalez-Torres	2023	CONF	2023 Congress in Computer Science, Computer Engineering, & Applied Computing (CSCE)	
T. S. S. Rao	2024	CONF	2024 IEEE International Conference on Advanced Learning Technologies (ICALT)	
A. Gonzalez-Torres	2021	CONF	2021 International Conference on Computational Science and Computational Intelligence (CSCI)	
Peter J. Denning	2019	CHAP	 	
J. R. Fanfarelli	2021	CONF	2021 IEEE/ACIS 20th International Fall Conference on Computer and Information Science (ICIS Fall)	
F. Wang	2023	CONF	2023 5th International Conference on Computer Science and Technologies in Education (CSTE)	
D. Zhao	2022	CONF	2022 11th International Conference on Educational and Information Technology (ICEIT)	
H. -C. Chuang	2015	CONF	2015 International Conference on Learning and Teaching in Computing and Engineering	
P. Srisangngam	2020	CONF	2020 5th International STEM Education Conference (iSTEM-Ed)	
L. Xu	2019	CONF	2019 14th International Conference on Computer Science & Education (ICCSE)	
C. -C. Hu	2020	CONF	2020 IEEE 20th International Conference on Advanced Learning Technologies (ICALT)	
W. -Y. Huang	2018	CONF	2018 International Conference on Learning and Teaching in Computing and Engineering (LaTICE)	
B. Worrell	2015	CONF	2015 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)	
C. -Y. Chang	2023	JOUR	IEEE Transactions on Education	
N. F. Rozali	2018	CONF	2018 IEEE 10th International Conference on Engineering Education (ICEED)	
E. Surahman	2022	CONF	2022 2nd International Conference on Information Technology and Education (ICIT&E)	
K. Daungcharone	2017	CONF	2017 International Conference on Digital Arts, Media and Technology (ICDAMT)	
D. F. Shell	2014	CONF	2014 IEEE Frontiers in Education Conference (FIE) Proceedings	
N. Fanchamps	2022	JOUR	IEEE Transactions on Learning Technologies	
C. S. Lee	2018	CONF	2018 International Conference on Computational Science and Computational Intelligence (CSCI)	
J. Chen	2023	CONF	2023 5th International Conference on Computer Science and Technologies in Education (CSTE)	
C. -H. Lai	2023	CONF	2023 IEEE 3rd International Conference on Social Sciences and Intelligence Management (SSIM)	
K. S. Borges	2017	CONF	2017 IEEE Frontiers in Education Conference (FIE)	
W. Huang	2009	CONF	2009 International Association of Computer Science and Information Technology - Spring Conference	
G. Revana	2021	CONF	2021 World Engineering Education Forum/Global Engineering Deans Council (WEEF/GEDC)	
J. Liu	2023	CONF	2023 5th International Conference on Computer Science and Technologies in Education (CSTE)	
R. Vinayakumar	2018	CONF	2018 9th International Conference on Computing, Communication and Networking Technologies (ICCCNT)	
Z. Yinnan	2012	CONF	2012 7th International Conference on Computer Science & Education (ICCSE)	
A. D. F. Pérez	2018	CONF	2018 IEEE Global Engineering Education Conference (EDUCON)	
C. -S. Lee	2017	CONF	2017 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM)	
C. Chytas	2019	CONF	2019 IEEE Global Engineering Education Conference (EDUCON)	
N. Ragonis	2022	CONF	2022 International Conference on Computational Science and Computational Intelligence (CSCI)	
N. Adnan	2023	JOUR	IEEE Access	
F. Wang	2019	CONF	2019 10th International Conference on Information Technology in Medicine and Education (ITME)	
L. Chen	2018	CONF	2018 5th International Conference on Systems and Informatics (ICSAI)	
A. Malizia	2017	CONF	2017 IEEE Blocks and Beyond Workshop (B&B)	
Z. Zhu	2023	CONF	2023 International Symposium on Educational Technology (ISET)	
P. Chen	2017	CONF	2017 IEEE 17th International Conference on Advanced Learning Technologies (ICALT)	
Y. -A. Caballero-González	2019	CONF	2019 7th International Engineering, Sciences and Technology Conference (IESTEC)	
C. Weiwei	2015	CONF	2015 7th International Conference on Information Technology in Medicine and Education (ITME)	
D. S. Rana	2022	CONF	2022 4th International Conference on Inventive Research in Computing Applications (ICIRCA)	
X. Ren	2021	CONF	2021 2nd International Conference on Information Science and Education (ICISE-IE)	
S. Zhang	2023	CONF	2023 13th International Conference on Information Technology in Medicine and Education (ITME)	
C. Guangzuo	2011	CONF	2011 Seventh International Conference on Natural Computation	
R. Nobnop	2024	CONF	2024 5th Technology Innovation Management and Engineering Science International Conference (TIMES-iCON)	
J. -M. Su	2019	CONF	2019 International Joint Conference on Information, Media and Engineering (IJCIME)	
P. Wentworth	2010	CONF	2010 ITU-T Kaleidoscope: Beyond the Internet? - Innovations for Future Networks and Services	
S. M. S. Azman	2017	CONF	2017 IEEE 6th International Conference on Teaching, Assessment, and Learning for Engineering (TALE)	
L. Orozco-Garcia	2019	CONF	2019 International Conference on Virtual Reality and Visualization (ICVRV)	
Y. Tang	2023	CONF	2023 International Conference on Artificial Intelligence and Education (ICAIE)	
H. Ren	2021	CONF	2021 IEEE 3rd International Conference on Computer Science and Educational Informatization (CSEI)	
M. Spezialetti	2010	CONF	2010 IEEE Frontiers in Education Conference (FIE)	
X. Li	2024	CONF	2024 6th International Conference on Computer Science and Technologies in Education (CSTE)	
X. Dong	2020	CONF	2020 International Conference on Artificial Intelligence and Computer Engineering (ICAICE)	
S. Rijo-García	2022	JOUR	IEEE Transactions on Education	
Z. Chang	2018	CONF	2018 14th International Wireless Communications & Mobile Computing Conference (IWCMC)	
S. Chookaew	2018	CONF	2018 7th International Congress on Advanced Applied Informatics (IIAI-AAI)	
R. Vinayakumar	2018	CONF	2018 9th International Conference on Computing, Communication and Networking Technologies (ICCCNT)	
K. Adam	2023	CONF	2023 IEEE Frontiers in Education Conference (FIE)	
F. Parsa	2024	CONF	SoutheastCon 2024	
H. Ehsan	2018	CONF	2018 IEEE Frontiers in Education Conference (FIE)	
A. Espinal	2021	CONF	2021 IEEE Frontiers in Education Conference (FIE)	
Ying Li	2016	CONF	2016 IEEE Frontiers in Education Conference (FIE)	
Shuiyan He	2014	CONF	2014 9th International Conference on Computer Science & Education	
X. Yi	2022	CONF	2022 4th International Conference on Computer Science and Technologies in Education (CSTE)	
J. Moreno-León	2016	CONF	2016 IEEE Global Engineering Education Conference (EDUCON)	
X. Wang	2023	CONF	2023 13th International Conference on Information Technology in Medicine and Education (ITME)	
P. Larsson	2019	CONF	2019 42nd International Convention on Information and Communication Technology, Electronics and Microelectronics (MIPRO)	
C. -C. Lin	2018	CONF	2018 1st International Cognitive Cities Conference (IC3)	
P. Gao	2019	CONF	2019 14th International Conference on Computer Science & Education (ICCSE)	
J. Hanč	2020	CONF	2020 18th International Conference on Emerging eLearning Technologies and Applications (ICETA)	
H. -L. Jeng	2019	CONF	2019 8th International Congress on Advanced Applied Informatics (IIAI-AAI)	
T. -C. Hsu	2020	CONF	2020 IEEE 20th International Conference on Advanced Learning Technologies (ICALT)	
H. W. Fennell	2019	CONF	2019 IEEE Frontiers in Education Conference (FIE)	
Z. Qu	2023	CONF	2023 IEEE 12th International Conference on Educational and Information Technology (ICEIT)	
L. Ribeiro Silva	2018	CONF	2018 IEEE 18th International Conference on Advanced Learning Technologies (ICALT)	
T. Phetsrikran	2018	CONF	2018 22nd International Computer Science and Engineering Conference (ICSEC)	
S. Sonsilphong	2022	CONF	2022 7th International STEM Education Conference (iSTEM-Ed)	
A. M. Laime-Choque	2022	CONF	2022 XII International Conference on Virtual Campus (JICV)	
R. D. Handayani	2023	CONF	2023 9th International Conference on Education and Technology (ICET)	
P. Anitha	2018	CONF	2018 IEEE Tenth International Conference on Technology for Education (T4E)	
N. Chuumchuen	2022	CONF	2022 7th International STEM Education Conference (iSTEM-Ed)	
A. Mohan	2015	CONF	2015 IEEE International Conference on Services Computing	
Y. A. C. González	2017	CONF	2017 International Symposium on Computers in Education (SIIE)	
S. Pacheco-Portuguez	2022	CONF	2022 International Conference on Advanced Learning Technologies (ICALT)	
T. -K. Chen	2019	CONF	2019 IEEE International Conference on Engineering, Technology and Education (TALE)	
L. Alvarado	2022	CONF	2022 IEEE World Engineering Education Conference (EDUNINE)	
P. Gou	2021	CONF	2021 16th International Conference on Computer Science & Education (ICCSE)	
Y. Wei	2014	CONF	2014 IEEE International Conference on Signal Processing, Communications and Computing (ICSPCC)	
J. Si	2021	CONF	2021 16th International Conference on Computer Science & Education (ICCSE)	
L. -j. Yin	2011	CONF	2011 International Conference on Consumer Electronics, Communications and Networks (CECNet)	
I. Yuliana	2019	CONF	2019 19th International Symposium on Communications and Information Technologies (ISCIT)	
O. Adeyemi	2023	CONF	2023 IEEE International Conference on Advanced Learning Technologies (ICALT)	
V. A. Narayanan	2018	CONF	2018 IEEE 18th International Conference on Advanced Learning Technologies (ICALT)	
M. Pedaste	2019	CONF	2019 IEEE 19th International Conference on Advanced Learning Technologies (ICALT)	
R. P. Curasma	2020	CONF	2020 IEEE XXVII International Conference on Electronics, Electrical Engineering and Computing (INTERCON)	
J. Ma	2022	CONF	2022 International Symposium on Educational Technology (ISET)	
H. Castellanos	2023	CONF	2023 IEEE Frontiers in Education Conference (FIE)	
M. Zapata-Cáceres	2020	CONF	2020 IEEE Global Engineering Education Conference (EDUCON)	
M. J. Rico Lugo	2018	JOUR	IEEE Revista Iberoamericana de Tecnologias del Aprendizaje	
R. F. Z. Muñoz	2023	JOUR	IEEE Revista Iberoamericana de Tecnologias del Aprendizaje	
A. F. Farias	2023	CONF	2023 32nd Annual Conference of the European Association for Education in Electrical and Information Engineering (EAEEIE)	
A. J. Magana	2012	JOUR	Computing in Science & Engineering	
J. F. Roscoe	2014	CONF	2014 International Conference on Interactive Technologies and Games	
M. S. Mirza	2020	CONF	2020 International Conference on Computational Science and Computational Intelligence (CSCI)	
J. Moreno-León	2018	CONF	2018 IEEE Global Engineering Education Conference (EDUCON)	
H. Gao	2024	CONF	2024 International Symposium on Educational Technology (ISET)	
F. Talavera-Mendoza	2023	CONF	2023 XIII International Conference on Virtual Campus (JICV)	
A. Gerosa	2019	CONF	2019 XIV Latin American Conference on Learning Technologies (LACLO)	
Y. Sasaki	2019	CONF	2019 IEEE 8th Global Conference on Consumer Electronics (GCCE)	
Y. Li	2015	CONF	2015 IEEE Frontiers in Education Conference (FIE)	
N. R. Ramadhani	2020	CONF	2020 7th International Conference on Advance Informatics: Concepts, Theory and Applications (ICAICTA)	
W. Xiduo	2020	CONF	2020 15th International Conference on Computer Science & Education (ICCSE)	
L. Ribeiro	2013	CONF	2013 2nd Workshop-School on Theoretical Computer Science	
M. Johnson	2022	CONF	2022 Intermountain Engineering, Technology and Computing (IETC)	
A. J. Magana	2011	CONF	2011 Frontiers in Education Conference (FIE)	
V. Chaudhary	2016	CONF	2016 IEEE Eighth International Conference on Technology for Education (T4E)	
E. Relkin	2021	CONF	2021 IEEE Global Engineering Education Conference (EDUCON)	
M. Elshahawy	2020	CONF	2020 24th International Conference Information Visualisation (IV)	
D. Yang	2020	CONF	2020 IEEE Frontiers in Education Conference (FIE)	
T. C. Dutra	2021	CONF	2021 International Conference on Advanced Learning Technologies (ICALT)	
G. Yang	2023	CONF	2023 IEEE Integrated STEM Education Conference (ISEC)	
H. Tanioka	2021	CONF	2021 10th International Congress on Advanced Applied Informatics (IIAI-AAI)	
C. Xu	2020	CONF	2020 International Wireless Communications and Mobile Computing (IWCMC)	
Y. Xu	2022	CONF	2022 European Conference on Communication Systems (ECCS)	
S. Zhao	2010	CONF	2010 International Conference on Computational Intelligence and Software Engineering	
S. Psycharis	2021	CONF	2021 IEEE Global Engineering Education Conference (EDUCON)	
J. Liao	2024	JOUR	IEEE Transactions on Learning Technologies	
D. Pale-Parra	2023	CONF	2023 11th International Conference in Software Engineering Research and Innovation (CONISOFT)	
B. Sabitzer	2018	CONF	2018 IEEE Global Engineering Education Conference (EDUCON)	
E. M. Slomp	2021	CONF	2021 IEEE World Conference on Engineering Education (EDUNINE)	
J. Pietros	2022	CONF	2022 International Conference on Computational Science and Computational Intelligence (CSCI)	
M. Dumančić	2024	CONF	2024 47th MIPRO ICT and Electronics Convention (MIPRO)	
K. T. Fernandes	2020	CONF	2020 IEEE Frontiers in Education Conference (FIE)	
A. H. Abdullah	2019	CONF	2019 IEEE International Conference on Engineering, Technology and Education (TALE)	
K. Tengler	2021	CONF	2021 IEEE Frontiers in Education Conference (FIE)	
K. Yevseyeva	2012	CONF	2012 Frontiers in Education Conference Proceedings	
C. K. Shyamala	2017	CONF	2017 IEEE Global Engineering Education Conference (EDUCON)	
Â. M. d. Jesus	2019	CONF	2019 International Conference on Virtual Reality and Visualization (ICVRV)	
M. Zhao	2020	CONF	2020 Ninth International Conference of Educational Innovation through Technology (EITT)	
V. A. Narayanan	2019	CONF	2019 IEEE Global Engineering Education Conference (EDUCON)	
R. Munoz	2016	CONF	2016 11th Iberian Conference on Information Systems and Technologies (CISTI)	
P. Ko	2013	CONF	2013 IEEE Frontiers in Education Conference (FIE)	
A. De Oliveira Costa Junior	2022	CONF	2022 Latin American Robotics Symposium (LARS), 2022 Brazilian Symposium on Robotics (SBR), and 2022 Workshop on Robotics in Education (WRE)	
P. Padmanabhan	2017	CONF	2017 IEEE Integrated STEM Education Conference (ISEC)	
A. A. Souza	2017	CONF	2017 XLIII Latin American Computer Conference (CLEI)	
